,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
148,75002,48.8566969,2.3514616,Parvis Notre-Dame — Place Jean-Paul II,48.85340681055016,2.348456382751465,Plaza
149,75002,48.8566969,2.3514616,Amorino,48.85410974419184,2.3497639596462245,Ice Cream Shop
150,75002,48.8566969,2.3514616,Marc Le Bihan,48.858081,2.356583,Optical Shop
151,75002,48.8566969,2.3514616,Grom,48.856737028179374,2.356932789896476,Ice Cream Shop
152,75002,48.8566969,2.3514616,Rue des Barres,48.85510723755554,2.355042479755412,Pedestrian Plaza
153,75002,48.8566969,2.3514616,Au Vieux Comptoir,48.85889313897845,2.3461287908631747,French Restaurant
154,75002,48.8566969,2.3514616,Mémorial de la Shoah,48.854825897257065,2.3562544165218426,Memorial Site
155,75002,48.8566969,2.3514616,Les Thermes de Lutèce,48.854506,2.354329,Salon / Barbershop
156,75002,48.8566969,2.3514616,Le Saint-Régis,48.852930295842626,2.353724241256714,Bistro
157,75002,48.8566969,2.3514616,Amorino,48.860728471150594,2.351151788025163,Ice Cream Shop
158,75002,48.8566969,2.3514616,Izraël,48.855899675406235,2.3564513622063195,Gourmet Shop
159,75002,48.8566969,2.3514616,Pozzetto,48.85677361447428,2.356963685677311,Italian Restaurant
160,75002,48.8566969,2.3514616,La Caféothèque de Paris,48.85419716409349,2.355713729818569,Coffee Shop
161,75002,48.8566969,2.3514616,L'Ébouillanté,48.854887506938255,2.355199456214905,French Restaurant
162,75002,48.8566969,2.3514616,Autour du Saumon,48.85558694633289,2.3578015122239786,Scandinavian Restaurant
163,75002,48.8566969,2.3514616,Square Jean XXIII,48.85249912936207,2.3513748676734063,Park
164,75002,48.8566969,2.3514616,Cave à Bulles,48.86106822154757,2.350510874028137,Beer Store
165,75002,48.8566969,2.3514616,Artéfact,48.859159235782826,2.3567422381825898,Café
166,75002,48.8566969,2.3514616,La Belle Hortense,48.857511321700315,2.35752029558429,Wine Bar
167,75002,48.8566969,2.3514616,La Droguerie du Marais,48.857837832158246,2.3580553473763914,French Restaurant
168,75002,48.8566969,2.3514616,L'Horloge du Palais de la Cité,48.8561387406628,2.346155047416687,Historic Site
169,75002,48.8566969,2.3514616,Point Zéro des Routes de France,48.853378239066345,2.34882675241169,Historic Site
170,75002,48.8566969,2.3514616,Princess Crêpe,48.85633801979823,2.3582201223926127,Creperie
171,75002,48.8566969,2.3514616,Le Colimaçon,48.857975561490434,2.358005359946839,French Restaurant
172,75002,48.8566969,2.3514616,Le Trumilou,48.854906,2.354048,French Restaurant
173,75002,48.8566969,2.3514616,Chacun ses goûts,48.86045841979827,2.3546816228436467,Frozen Yogurt Shop
174,75002,48.8566969,2.3514616,Stolly's,48.85643222530419,2.3572008204178174,Pub
175,75002,48.8566969,2.3514616,La Panfoulia,48.85796529800795,2.356742786235156,Lounge
176,75002,48.8566969,2.3514616,Cité Internationale des Arts,48.85400983891493,2.3567382656184863,Cultural Center
177,75002,48.8566969,2.3514616,Le Mistral,48.85713384507085,2.347637508259667,French Restaurant
178,75002,48.8566969,2.3514616,La Réserve de Quasimodo,48.85484856340623,2.350624800439762,French Restaurant
179,75002,48.8566969,2.3514616,Statue de Charlemagne,48.85321219002655,2.348305055824766,Sculpture Garden
180,75002,48.8566969,2.3514616,Au Bourguignon du Marais,48.855609413503736,2.357703652114703,Burgundian Restaurant
181,75002,48.8566969,2.3514616,Le Tambour d'Arcole,48.85466334119561,2.3500580039119243,French Restaurant
182,75002,48.8566969,2.3514616,La Conciergerie,48.85611,2.34492,Historic Site
183,75002,48.8566969,2.3514616,Le Flore en l'Île,48.852787337865735,2.353368207366823,French Restaurant
184,75002,48.8566969,2.3514616,Au Petit Versailles du Marais,48.855619103037064,2.3576342314481735,Bakery
185,75002,48.8566969,2.3514616,Sur Le Pouce,48.85458891563948,2.3499631901010756,Snack Place
186,75002,48.8566969,2.3514616,La Sarrasine,48.853177,2.353939,Creperie
187,75002,48.8566969,2.3514616,Don Giovanni,48.85569536633659,2.357174777121941,Italian Restaurant
188,75002,48.8566969,2.3514616,Sancho,48.855803,2.356545,Japanese Restaurant
189,75002,48.8566969,2.3514616,Quai de Bourbon,48.853389357825314,2.3544875372175054,Waterfront
190,75002,48.8566969,2.3514616,Au Lys d'Argent,48.8527895163605,2.353881745505874,Creperie
191,75002,48.8566969,2.3514616,Huré,48.85482146385542,2.3501120333922687,Bakery
192,75002,48.8566969,2.3514616,Primo Epicerie Fine,48.855737,2.357889,Italian Restaurant
193,75002,48.8566969,2.3514616,Hôtel Saint-Louis,48.85266784726747,2.3541636327891102,Hotel
194,75002,48.8566969,2.3514616,Le Sarrasin et le Froment,48.852720274957456,2.354271411895752,Creperie
195,75002,48.8566969,2.3514616,Brasserie de l'Isle Saint-Louis,48.85305030738144,2.3534024599939585,Brasserie
196,75002,48.8566969,2.3514616,Café Med,48.85272560657876,2.353989380912962,French Restaurant
197,75002,48.8566969,2.3514616,Bodega 64,48.85558679107409,2.3580503115386984,Tapas Restaurant
198,75002,48.8566969,2.3514616,Place Saint-Gervais,48.85580211604415,2.3537779243894312,Plaza
199,75002,48.8566969,2.3514616,Pain d'Epices,48.85328136217487,2.3537753202645795,French Restaurant
200,75003,48.8566969,2.3514616,Place de l'Hôtel de Ville – Esplanade de la Libération,48.85692475726913,2.3514118156673676,Plaza
201,75003,48.8566969,2.3514616,Berges de Seine – Rive droite,48.855130568830376,2.352289446225441,Pedestrian Plaza
202,75003,48.8566969,2.3514616,Parc Rives de Seine,48.85551048052973,2.3514188826084137,Park
203,75003,48.8566969,2.3514616,L'Alsacien,48.85827502747949,2.3503806119494897,Alsatian Restaurant
204,75003,48.8566969,2.3514616,Maison Aleph,48.857348,2.354873,Pastry Shop
205,75003,48.8566969,2.3514616,The Body Shop,48.857506542464996,2.352117521536684,Cosmetics Shop
206,75003,48.8566969,2.3514616,Tour Saint-Jacques,48.858030532545826,2.348874807357788,Historic Site
207,75003,48.8566969,2.3514616,Square de la Tour Saint-Jacques,48.857882297703746,2.348756790161133,Park
208,75003,48.8566969,2.3514616,BHV Marais,48.8573123,2.3536331,Department Store
209,75003,48.8566969,2.3514616,Galerie Azzedine Alaïa,48.857544773243966,2.3552169725375203,Art Gallery
210,75003,48.8566969,2.3514616,Fleux',48.85876287681194,2.3541614413261414,Furniture / Home Store
211,75003,48.8566969,2.3514616,Huygens Cosmetique Naturelle Sur Mesure,48.85893757904192,2.3537778854370117,Cosmetics Shop
212,75003,48.8566969,2.3514616,Au Bougnat,48.85430198313846,2.350065379156101,Auvergne Restaurant
213,75003,48.8566969,2.3514616,Häagen-Dazs,48.8548703,2.3502584,Ice Cream Shop
214,75003,48.8566969,2.3514616,Bel Canto,48.85463159369966,2.3544932532811624,French Restaurant
215,75003,48.8566969,2.3514616,Tasca,48.856685814693414,2.3563742637634277,Portuguese Restaurant
216,75003,48.8566969,2.3514616,Au Vieux Paris d'Arcole,48.85419569715162,2.3503124713897705,French Restaurant
217,75003,48.8566969,2.3514616,Comme à Lisbonne,48.856767485058,2.356461882401648,Café
218,75003,48.8566969,2.3514616,Aux Merveilleux de Fred,48.85568607650127,2.356368899345398,Dessert Shop
219,75003,48.8566969,2.3514616,Place du Châtelet,48.85771405825988,2.3475036353886267,Plaza
220,75003,48.8566969,2.3514616,Marché aux fleurs Reine Elizabeth II,48.85532574534761,2.3474066194846097,Flower Shop
221,75003,48.8566969,2.3514616,Cathédrale Notre-Dame de Paris,48.85312443201169,2.3495614528656006,Church
222,75003,48.8566969,2.3514616,Le Peloton Café,48.85550466759594,2.3560337163355456,Coffee Shop
223,75003,48.8566969,2.3514616,Galerie Sakura,48.85726430775278,2.356031975867304,Art Gallery
224,75003,48.8566969,2.3514616,Les Pinces,48.85755185997607,2.3563175494829465,Seafood Restaurant
225,75003,48.8566969,2.3514616,Pozzetto,48.85682742435843,2.3562692974557247,Ice Cream Shop
226,75003,48.8566969,2.3514616,Benedict,48.85820815365001,2.3560811411196494,French Restaurant
227,75003,48.8566969,2.3514616,Mariage Frères,48.85776928296051,2.356618019905924,Tea Room
228,75003,48.8566969,2.3514616,Levi's® Store,48.85817700225621,2.355864644050598,Clothing Store
229,75003,48.8566969,2.3514616,Galerie 88,48.854988009024574,2.3538248240947723,Tea Room
230,75003,48.8566969,2.3514616,Lot of Wine,48.85448,2.355695,Wine Bar
231,75003,48.8566969,2.3514616,Résistance,48.858041960048006,2.3566510416688433,Cocktail Bar
232,75003,48.8566969,2.3514616,Pierre Hermé,48.858127142288076,2.356441979666563,Pastry Shop
233,75003,48.8566969,2.3514616,Nature & Découvertes,48.85824916074778,2.3561629743718697,Miscellaneous Shop
234,75003,48.8566969,2.3514616,Comptoir Gourmet,48.859958,2.354374,Restaurant
235,75003,48.8566969,2.3514616,Librairie Flammarion,48.86026970760012,2.352148283025599,Bookstore
236,75003,48.8566969,2.3514616,Hôtel Caron de Beaumarchais,48.856448284087755,2.3567294714314917,Hotel
237,75003,48.8566969,2.3514616,She's Cake,48.85667480506846,2.3563179223128827,Cupcake Shop
238,75003,48.8566969,2.3514616,Théâtre du Châtelet,48.857775,2.3462649,Theater
239,75003,48.8566969,2.3514616,Pamela Popo,48.85574916092363,2.3569190697806426,French Restaurant
240,75003,48.8566969,2.3514616,Les Mots à la Bouche,48.85771855127609,2.3573224499493,Bookstore
241,75003,48.8566969,2.3514616,Tours de la Cathédrale Notre-Dame de Paris,48.85323032415024,2.3492074012756348,Scenic Lookout
